COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"65000","新北市","65000010","板橋區",225202,554247,268334,285913,"112Y12M"
"65000","新北市","65000020","三重區",160936,383108,187199,195909,"112Y12M"
"65000","新北市","65000030","中和區",173661,407273,195788,211485,"112Y12M"
"65000","新北市","65000040","永和區",92467,214771,101340,113431,"112Y12M"
"65000","新北市","65000050","新莊區",167536,423607,205458,218149,"112Y12M"
"65000","新北市","65000060","新店區",134977,304868,145550,159318,"112Y12M"
"65000","新北市","65000070","樹林區",68663,180658,89715,90943,"112Y12M"
"65000","新北市","65000080","鶯歌區",34058,89080,44549,44531,"112Y12M"
"65000","新北市","65000090","三峽區",45557,115608,57542,58066,"112Y12M"
"65000","新北市","65000100","淡水區",90892,194399,92543,101856,"112Y12M"
"65000","新北市","65000110","汐止區",95134,209481,101629,107852,"112Y12M"
"65000","新北市","65000120","瑞芳區",15984,37197,18742,18455,"112Y12M"
"65000","新北市","65000130","土城區",94393,240828,117811,123017,"112Y12M"
"65000","新北市","65000140","蘆洲區",75247,200022,97686,102336,"112Y12M"
"65000","新北市","65000150","五股區",37487,92754,46261,46493,"112Y12M"
"65000","新北市","65000160","泰山區",29869,77491,38156,39335,"112Y12M"
"65000","新北市","65000170","林口區",54852,132947,64410,68537,"112Y12M"
"65000","新北市","65000180","深坑區",10000,23689,11767,11922,"112Y12M"
"65000","新北市","65000190","石碇區",3333,7166,3911,3255,"112Y12M"
"65000","新北市","65000200","坪林區",2552,6446,3478,2968,"112Y12M"
"65000","新北市","65000210","三芝區",9776,22137,11396,10741,"112Y12M"
"65000","新北市","65000220","石門區",4243,10752,5605,5147,"112Y12M"
"65000","新北市","65000230","八里區",17561,41966,20830,21136,"112Y12M"
"65000","新北市","65000240","平溪區",2144,4134,2321,1813,"112Y12M"
"65000","新北市","65000250","雙溪區",3563,7915,4318,3597,"112Y12M"
"65000","新北市","65000260","貢寮區",4249,10981,5589,5392,"112Y12M"
"65000","新北市","65000270","金山區",7279,20366,10039,10327,"112Y12M"
"65000","新北市","65000280","萬里區",7560,20869,10386,10483,"112Y12M"
"65000","新北市","65000290","烏來區",1895,6360,3092,3268,"112Y12M"
"63000","臺北市","63000010","松山區",80518,193399,89973,103426,"112Y12M"
"63000","臺北市","63000020","信義區",89409,206759,97386,109373,"112Y12M"
"63000","臺北市","63000030","大安區",120022,291732,135119,156613,"112Y12M"
"63000","臺北市","63000040","中山區",101102,216346,99365,116981,"112Y12M"
"63000","臺北市","63000050","中正區",65560,150155,70894,79261,"112Y12M"
"63000","臺北市","63000060","大同區",53148,119930,57515,62415,"112Y12M"
"63000","臺北市","63000070","萬華區",79428,173652,84165,89487,"112Y12M"
"63000","臺北市","63000080","文山區",108673,260313,123610,136703,"112Y12M"
"63000","臺北市","63000090","南港區",48274,113959,55025,58934,"112Y12M"
"63000","臺北市","63000100","內湖區",111466,276180,130635,145545,"112Y12M"
"63000","臺北市","63000110","士林區",108160,266951,127804,139147,"112Y12M"
"63000","臺北市","63000120","北投區",99272,242510,115573,126937,"112Y12M"
"68000","桃園市","68000010","桃園區",190883,470683,226258,244425,"112Y12M"
"68000","桃園市","68000020","中壢區",172363,431255,210302,220953,"112Y12M"
"68000","桃園市","68000030","大溪區",35339,94607,47886,46721,"112Y12M"
"68000","桃園市","68000040","楊梅區",67350,180032,89836,90196,"112Y12M"
"68000","桃園市","68000050","蘆竹區",63893,169237,83468,85769,"112Y12M"
"68000","桃園市","68000060","大園區",33572,86634,43873,42761,"112Y12M"
"68000","桃園市","68000070","龜山區",76321,178297,88005,90292,"112Y12M"
"68000","桃園市","68000080","八德區",81503,213403,105686,107717,"112Y12M"
"68000","桃園市","68000090","龍潭區",47095,126603,62783,63820,"112Y12M"
"68000","桃園市","68000100","平鎮區",84706,229686,113253,116433,"112Y12M"
"68000","桃園市","68000110","新屋區",18164,49277,26065,23212,"112Y12M"
"68000","桃園市","68000120","觀音區",28297,74521,38445,36076,"112Y12M"
"68000","桃園市","68000130","復興區",3995,13210,6926,6284,"112Y12M"
"66000","臺中市","66000010","中區",8226,17784,8718,9066,"112Y12M"
"66000","臺中市","66000020","東區",30670,76852,37844,39008,"112Y12M"
"66000","臺中市","66000030","南區",52114,126907,60453,66454,"112Y12M"
"66000","臺中市","66000040","西區",47293,113548,53425,60123,"112Y12M"
"66000","臺中市","66000050","北區",62236,144097,68338,75759,"112Y12M"
"66000","臺中市","66000060","西屯區",94971,235441,112101,123340,"112Y12M"
"66000","臺中市","66000070","南屯區",71961,182232,86537,95695,"112Y12M"
"66000","臺中市","66000080","北屯區",120351,304179,144417,159762,"112Y12M"
"66000","臺中市","66000090","豐原區",56638,163948,80546,83402,"112Y12M"
"66000","臺中市","66000100","東勢區",17640,47468,24156,23312,"112Y12M"
"66000","臺中市","66000110","大甲區",24676,74684,37379,37305,"112Y12M"
"66000","臺中市","66000120","清水區",32178,89924,45798,44126,"112Y12M"
"66000","臺中市","66000130","沙鹿區",34085,98805,49475,49330,"112Y12M"
"66000","臺中市","66000140","梧棲區",20715,61019,30510,30509,"112Y12M"
"66000","臺中市","66000150","后里區",17373,53653,26941,26712,"112Y12M"
"66000","臺中市","66000160","神岡區",20776,64362,32735,31627,"112Y12M"
"66000","臺中市","66000170","潭子區",38728,108979,53616,55363,"112Y12M"
"66000","臺中市","66000180","大雅區",31694,95708,47480,48228,"112Y12M"
"66000","臺中市","66000190","新社區",7888,23089,11909,11180,"112Y12M"
