縣市,鄉鎮市區,交易量,前一年平均房價_坪,前一年平均成交價,過去三年平均成長率
臺北市,中山區,3183,938230.530606203,33475467.6782909,6.28764507093399
臺北市,中正區,1655,1122796.77395464,33367567.7752266,8.36206260426786
臺北市,信義區,2117,993879.264876257,30736281.0845536,9.50429835502341
臺北市,內湖區,2328,713258.66939889,31594739.9514605,5.49281662250495
臺北市,北投區,2282,669365.032373405,29444187.7918493,-11.1462384926381
臺北市,南港區,1301,859020.398351906,33648467.388163,4.27287074367255
臺北市,士林區,1941,651133.308064266,26611842.4868624,3.81712678747055
臺北市,大同區,1213,905632.129992655,27216950.6117065,9.60755602784484
臺北市,大安區,2378,1107277.35666573,44994785.4932717,4.74982278802028
臺北市,文山區,2415,704659.704253015,24523792.5581781,8.42316205768837
臺北市,松山區,1473,923217.988977648,31036578.5084861,1.68890656157693
臺北市,萬華區,1548,625450.942868437,16631955.3352713,2.26758880708188
臺中市,中區,441,323234.402526111,9901107.68480726,18.5602103437487
臺中市,北區,2611,355973.625198646,12407935.0448104,9.19540002578999
臺中市,北屯區,8944,477064.419416963,24920236.6822451,15.4010232526436
臺中市,南區,2819,404347.843962898,17558846.3877261,12.7930723778215
臺中市,南屯區,3948,471539.720399938,29270000.8839919,10.0108987247606
臺中市,后里區,688,259110.292032355,11817941.8488372,12.6624817858459
臺中市,和平區,49,9111.55304,2428208.7755102,12.2458812843212
臺中市,外埔區,531,218510.253124755,10271201.7721281,23.431565292643
臺中市,大安區,148,112872.522012534,7997482.12837838,12.6113747046078
臺中市,大甲區,802,219150.944977363,10098174.0473815,10.0813155555461
臺中市,大肚區,582,232989.403662431,12088676.9123711,15.7880440064511
臺中市,大里區,1910,309990.341021288,14597502.4727749,10.8841899724638
臺中市,大雅區,814,265828.974538084,16595749.4152334,3.86526206436317
臺中市,太平區,4166,341308.890046859,15000543.3948632,13.1425965641084
臺中市,新社區,263,91373.4560210647,7382042.09885932,14.2453514957811
臺中市,東勢區,491,108628.795307006,6322560.16904277,5.8426370434692
臺中市,東區,1069,383010.219964401,16133454.3376988,8.67909090841959
臺中市,梧棲區,2615,263114.223023566,11704686.7835564,12.4094800169521
臺中市,沙鹿區,2726,324549.075585514,14530555.5366838,15.1627966595204
臺中市,清水區,2033,258843.74926211,11690456.9655681,18.0505678600809
臺中市,潭子區,1303,330255.793987226,15264355.5878741,8.56436921254801
臺中市,烏日區,1766,364637.287787123,18303161.2587769,13.5743316573849
臺中市,石岡區,200,72163.121260825,3935953.4,-3.99506643760427
臺中市,神岡區,678,291867.070163739,14389139.2507375,12.6965382968127
臺中市,西區,1547,378501.678765634,14904109.7659987,6.90852547366371
臺中市,西屯區,6965,542252.552565447,25766915.2703518,12.8537700350145
臺中市,豐原區,1595,306808.647786367,13845124.3028213,9.53962528471635
臺中市,霧峰區,612,200293.769834632,11505251.9787582,9.57661819903789
臺中市,龍井區,1419,261697.535308911,12843006.0620155,15.6228886179214
基隆市,七堵區,744,272745.14661912,12617464.2795699,13.959326375607
基隆市,中山區,516,268696.607260029,8244299.42248062,1.15292475170428
基隆市,中正區,897,211687.733569214,11496164.0635452,8.77155681431165
基隆市,仁愛區,316,225622.880962722,6226859.80063291,2.38128921470325
基隆市,信義區,540,206905.734512232,9013785.21111111,5.47627517772285
基隆市,安樂區,946,199760.742425978,9360386.54545455,5.73628700124838
基隆市,暖暖區,912,347921.746413569,10091158.0427632,41.2197373910803
臺南市,七股區,238,53313.1169673529,4421701.34453782,17.967309499974
臺南市,下營區,232,99413.5756393319,6561383.18103448,28.1979639768635
臺南市,中西區,1057,316802.72156947,13677046.371807,8.1435474300667
臺南市,仁德區,1571,220075.025283756,10730152.0802037,2.85124217261137
臺南市,佳里區,963,151738.064905327,8224544.06957425,5.60125776416923
臺南市,六甲區,310,110036.35951,7276469.41935484,2.14018794689288
臺南市,北區,1456,302359.47917101,12504754.3866758,7.01547526701508
臺南市,北門區,61,15141.0914251639,1601550.27868852,10.1670089261234
臺南市,南化區,45,22710.8898737778,2621457.46666667,16.9080774815654
臺南市,南區,1136,203773.61882805,9866653.0096831,6.87693936533211
臺南市,善化區,1667,265342.777359952,16711838.0467906,13.4223874718456
臺南市,大內區,113,51532.0978261947,3924403.52212389,41.9728780533791
臺南市,學甲區,479,111191.458761013,5421244.07515658,20.886657355328
臺南市,安南區,4486,274891.542106242,14098449.9850646,15.6355822854717
臺南市,安定區,824,213070.81765375,23344894.8118932,17.2532463625683
臺南市,安平區,1061,287210.626317644,15786451.001885,6.77722675504393
臺南市,官田區,397,101584.025168262,8175887.70277078,6.21875881339528
臺南市,將軍區,221,43433.4376592308,3738763.60180995,3.04507504255816
臺南市,山上區,86,120396.881896802,17591476.244186,32.6314383248808
臺南市,左鎮區,68,14661.0592460294,2632267.19117647,19.7791771749983
臺南市,後壁區,274,47429.7261576825,4382534.69343066,15.7603328317004
臺南市,新化區,407,189762.58552914,9117654.31695332,13.5970494177625
臺南市,新市區,1140,256876.501893882,31806531.1157895,22.1600692004091
臺南市,新營區,1275,186561.463106035,9731816.46745098,12.8185898566549
臺南市,東區,2412,323255.73531154,13357041.2491708,12.2107613878124
臺南市,東山區,240,31382.5470325208,3559657.89166667,29.0929585059371
臺南市,柳營區,309,85521.6956883333,12048752.9158576,2.89353774810998
臺南市,楠西區,85,75018.7234872353,4980705.90588235,39.9310153488165
臺南市,歸仁區,1722,278685.74030998,13108191.2996516,11.6663408421921
臺南市,永康區,4260,300494.579970346,14895328.6964789,16.8904872589694
臺南市,玉井區,202,82538.0216163862,5403539.78712871,-4.19356256488554
臺南市,白河區,394,74185.9602167259,4826421.35532995,21.9034314698438
臺南市,西港區,434,122139.554394516,8281515.49539171,6.67354149079654
臺南市,關廟區,724,153787.990214869,8356144.47790055,22.2183655007707
臺南市,鹽水區,366,59212.6157626366,4089840.64480874,7.56533861332971
臺南市,麻豆區,745,165369.662665463,11543578.9073826,10.3943463015343
臺南市,龍崎區,50,2185.1900007,4655874,-6.08171431482027
高雄市,三民區,6874,358483.931088529,15184872.7075938,15.4213904809621
高雄市,仁武區,2750,304781.05303352,16685599.0403636,12.4825049167225
高雄市,內門區,103,11704.53298,1886043.42718447,2.73559545760904
高雄市,六龜區,146,29284.4096343151,2711736.07534247,14.6745945162589
高雄市,前金區,1311,425647.276181629,13089694.7208238,16.2492234757472
高雄市,前鎮區,2196,295027.540156567,15106351.2399818,8.39868411179734
高雄市,大寮區,2003,158443.238282951,11155079.90664,6.6033289121712
高雄市,大樹區,656,158338.65562247,7496697.74847561,14.8751791962246
高雄市,大社區,674,207678.654202878,13572616.4465875,16.266112468302
高雄市,小港區,1921,241225.421923626,11945825.3669964,10.6336550346461
高雄市,岡山區,1288,224915.960971739,12533948.1420807,9.90101797293963
高雄市,左營區,4343,371064.595801863,17338665.2712411,12.1144801254431
高雄市,彌陀區,113,93280.1837323009,8276212.84070796,12.0305512221687
高雄市,新興區,1036,337414.234770304,13179900.4710425,8.86474009677439
高雄市,旗山區,337,82758.9247235015,4830294.15727003,2.36540389592543
高雄市,旗津區,29,137219.943557586,4917663.89655172,5.20458559415589
高雄市,杉林區,86,13554.7563627326,2081373.29069767,-8.82093566033921
高雄市,林園區,1008,157752.706271076,8248794.07638889,10.7404127767053
高雄市,桃源區,15,264.903571333333,663789.333333333,91.5427431463373
高雄市,梓官區,532,195397.370414474,9755539.33082707,14.4505486315674
高雄市,楠梓區,5665,306951.759914545,14014751.7925861,14.8478422443376
高雄市,橋頭區,2105,293451.798736238,14854608.4826603,21.0523456876474
高雄市,永安區,70,55844.2954265,4334437.22857143,28.3087581814523
高雄市,湖內區,528,193043.763108968,11296784.2613636,16.5157935295784
高雄市,燕巢區,730,170453.280147116,11240712.1493151,13.4495085273739
高雄市,田寮區,66,8857.75073219697,2513360.10606061,7.26336090747534
高雄市,甲仙區,46,24896.9448083696,1638432.39130435,-5.60945008804505
高雄市,美濃區,414,77175.2436424396,6050326.53864734,12.4401736891977
高雄市,苓雅區,2683,320924.051629126,14586780.4338427,8.9393580998907
高雄市,茂林區,5,4017.189932,410000,38.9991085668572
高雄市,茄萣區,158,118984.910278101,13490457.4050633,6.03775678636076
高雄市,路竹區,388,148611.522074678,12378359.2190722,13.1804113671561
高雄市,那瑪夏區,12,912.672142083333,677832.5,-50.3184951661632
高雄市,阿蓮區,280,130559.7589765,8080710.91428572,17.105571655301
高雄市,鳥松區,646,235847.484950975,16505079.4442724,8.07398832209764
高雄市,鳳山區,4789,287742.991855163,12111983.8811861,10.1981781129235
高雄市,鹽埕區,589,367293.968182165,11644617.8471986,29.6958113442108
高雄市,鼓山區,2641,391250.890163162,21595386.715638,10.0318805688738
新北市,三峽區,1495,340754.093194799,12913318.1852843,12.4919840153236
新北市,三芝區,429,115687.217530769,5352030.6037296,-2.62952095672778
新北市,三重區,6657,641212.199463754,21593008.804116,9.67652708457306
新北市,中和區,4719,573324.050171226,21501151.5825387,9.10692747326186
新北市,五股區,1520,418290.973874767,17202182.1796053,12.6040694826026
新北市,八里區,838,236929.808271289,10372332.0548926,3.09155095290939
新北市,土城區,3755,555734.544422799,19022885.5451398,10.6970963610211
新北市,坪林區,30,34838.0152225,2234538.4,31.3498167071601
新北市,平溪區,57,49763.3155182456,2436585.29824561,75.9237077757299
新北市,新店區,3458,471614.081134312,19288676.4603817,1.05076309165337
新北市,新莊區,4664,519094.962318098,25064479.9290309,6.47690344822496
新北市,板橋區,5668,641565.070396479,20782829.6049753,7.60710995649103
新北市,林口區,4036,518184.291193943,27518287.4204658,13.9178411140567
新北市,樹林區,1379,357984.493254873,16174131.0630892,8.50886108280778
新北市,永和區,1644,642964.340168662,18135787.0942822,8.70305382993094
新北市,汐止區,2455,391989.426986279,15880464.898167,7.09174197976248
新北市,泰山區,1377,501599.553862673,28649082.3652869,12.2133583767038
新北市,淡水區,6899,320304.405325389,12502612.5929845,8.52724051609162
新北市,深坑區,217,293308.394378548,12585625.235023,8.46104747438205
新北市,烏來區,13,47239.4133588462,1672994.46153846,459.3667761466
新北市,瑞芳區,300,95506.9606058167,4217439.69,2.38149513945165
新北市,石碇區,32,30065.28812875,4511038.125,8.10746525900681
新北市,石門區,41,28494.7378953659,7781635.82926829,20.2011583871548
新北市,萬里區,230,111745.004792674,4472474.16956522,20.2545348549797
新北市,蘆洲區,1370,487709.859252051,16743989.5992701,6.96693741371364
新北市,貢寮區,127,27246.1498209843,2295993.77952756,6.39211978270977
新北市,金山區,195,145312.933732795,8132496.65641026,12.4185760267658
新北市,雙溪區,90,25608.4471572222,1805131.33333333,14.4612267249289
新北市,鶯歌區,1365,343960.266821769,15292839.0307692,11.4349866870897
宜蘭縣,三星鄉,572,160042.356594493,9853729.72202797,17.3054841523277
宜蘭縣,五結鄉,955,212315.737786937,10735677.5350785,10.0591417915931
宜蘭縣,冬山鄉,904,180307.844478125,10004895.2168142,7.48528223609437
宜蘭縣,南澳鄉,27,5939.02640722222,909555.555555556,84.9008165343314
宜蘭縣,員山鄉,638,185463.227843958,8887745.0799373,10.1808726127943
宜蘭縣,壯圍鄉,512,174319.085663447,8824190.25585938,18.0028350763186
宜蘭縣,大同鄉,29,36943.5152860345,1792449.5862069,401.922673307937
宜蘭縣,宜蘭市,1579,266239.053342023,12749312.079164,10.2860841166785
宜蘭縣,礁溪鄉,1005,232584.51329609,11733366.7870647,4.43306025098221
宜蘭縣,羅東鎮,838,265043.221682804,11569548.7159905,7.00330368590925
宜蘭縣,蘇澳鎮,666,155588.830936074,9347989.57957958,11.39493589628
宜蘭縣,頭城鎮,452,188311.219443119,9401991.03982301,-0.716956754220233
桃園市,中壢區,9661,363496.744656645,16856900.9902702,10.5497130826668
桃園市,八德區,4291,335032.033367529,14352849.3022605,14.7622949086215
桃園市,大園區,5558,298686.040919811,16217009.2263404,7.63026749678054
桃園市,大溪區,1027,181266.102467249,11730430.9425511,9.28843413059378
桃園市,平鎮區,3047,234603.82480647,10908787.9064654,11.2531185721928
桃園市,復興區,63,12653.9677794444,2172631.57142857,17.8646280393128
桃園市,新屋區,1498,191670.310260421,11233692.8978638,22.4601914049767
桃園市,桃園區,8617,386598.623789159,18354440.9520715,10.26610248325
桃園市,楊梅區,3736,220700.83409723,11524438.74197,13.2460388569658
桃園市,蘆竹區,4056,312755.532145043,16567753.1905819,11.6420125743311
桃園市,觀音區,2978,222253.091810373,12299224.5419745,13.4929079228357
桃園市,龍潭區,1916,188403.148613896,12263437.6080376,4.81364467098749
桃園市,龜山區,4936,389286.819188261,16293183.338128,13.8123895913883
嘉義市,嘉義市,3366,246133.931047816,12809319.5466429,10.3266650123211
新竹縣,五峰鄉,25,3706.1816792,1462465.2,106.491095611348
新竹縣,北埔鄉,123,119131.971612642,16622940.9349594,44.2743754704412
新竹縣,寶山鄉,962,367125.509849226,22755375.2723493,62.1663659998176
新竹縣,尖石鄉,45,2153.16796333333,2202205.33333333,9.90702615028897
新竹縣,峨眉鄉,97,19483.410703299,7967745.45360825,1.9262518347551
新竹縣,新埔鎮,857,283910.200834895,15035841.6091015,15.9477776072912
新竹縣,新豐鄉,1512,258353.652474491,13052849.0753968,16.126173866631
新竹縣,橫山鄉,176,58197.8377875284,4903620.25568182,12.1436663158077
新竹縣,湖口鄉,1968,263085.599554433,12944698.1549797,16.0938473511688
新竹縣,竹北市,3946,480877.879869757,25123264.4118094,14.6961148682764
新竹縣,竹東鎮,1999,303457.542190515,16749082.0465233,13.1247080011488
新竹縣,芎林鄉,370,264651.881967446,18880535.6594595,12.261453681547
新竹縣,關西鎮,603,93348.75683,6692953.50414594,0.457236050972813
苗栗縣,三灣鄉,124,36447.8791983871,5965238.93548387,9.82141549880903
苗栗縣,三義鄉,140,131287.62199525,9333803.8,30.7061039092297
苗栗縣,公館鄉,325,108839.777228108,7309301.95692308,4.77486719783056
苗栗縣,卓蘭鎮,123,69041.4272302033,5237427.38211382,13.4438268336854
苗栗縣,南庄鄉,92,32188.536342337,4059813.44565217,36.7500492836326
苗栗縣,大湖鄉,137,45442.3099325183,4365165.77372263,10.639332564314
苗栗縣,後龍鎮,1036,149890.804551723,15552679.5492278,11.1311911913921
苗栗縣,泰安鄉,49,7391.667795,1115523.97959184,17.462595780605
苗栗縣,獅潭鄉,80,18773.05714725,2083647.8,21.9365792616332
苗栗縣,竹南鎮,2975,329096.703819718,15220643.6537815,24.8350536838274
苗栗縣,苑裡鎮,719,158310.884993122,7603469.54659249,10.9895575346066
苗栗縣,苗栗市,1075,178396.183200591,8649276.07906977,8.07062667894215
苗栗縣,西湖鄉,76,23593.6920251974,2746733.07894737,18.7565625378151
苗栗縣,通霄鎮,274,41399.0332547993,5510876.33576642,1.04175372874433
苗栗縣,造橋鄉,237,163245.591395464,7739486.42194093,36.0796047826847
苗栗縣,銅鑼鄉,303,152265.493567244,8646049.0330033,41.4269487426965
苗栗縣,頭份市,2639,295282.821454867,14658881.469875,20.6362072504019
苗栗縣,頭屋鄉,116,42627.527612069,4408219.02586207,-2.79616349698573
南投縣,中寮鄉,167,25842.0141741916,2627040.80838323,21.0010761047373
南投縣,仁愛鄉,118,6984.42332682203,2492408.05932203,-4.61950346036963
南投縣,信義鄉,21,7922.23504333334,1005408.42857143,143.036128123373
南投縣,南投市,1389,183689.12555131,10281368.2562995,7.39979606181455
南投縣,名間鄉,273,74172.2855362821,6841668.67399267,6.11536386181379
南投縣,國姓鄉,200,39002.858041525,5274156.09,3.48794598514478
南投縣,埔里鎮,935,174677.308162112,9572273.18609626,12.8120400327935
南投縣,水里鄉,119,66719.964162353,3810161.03361345,6.56224753359139
南投縣,竹山鎮,626,102889.410764201,5176581.06230032,18.8093698397765
南投縣,草屯鎮,1251,205802.477566906,10141704.7921663,7.27556748863576
南投縣,集集鎮,91,70188.9357023077,5012814.97802198,-0.614337698445688
南投縣,魚池鄉,195,90951.5032644615,7556143.66666667,32.9048921945883
南投縣,鹿谷鄉,292,136958.649907637,5632429.03424658,15.9423573549209
彰化縣,二林鎮,521,141082.014347438,7674468.50479846,18.7515056033763
彰化縣,二水鄉,60,57612.0088588333,3698305.38333333,21.6190378334251
彰化縣,伸港鄉,402,187777.535000199,11526953.2935323,9.33911091363073
彰化縣,北斗鎮,435,191210.358555839,9315014.43908046,7.88955041695139
彰化縣,和美鎮,689,240046.977288106,12735935.5297533,12.5336078069754
彰化縣,員林市,1544,260600.420579045,12477010.1437824,9.86651707844797
彰化縣,埔心鄉,507,163844.26333927,10370336.7199211,9.63169894265152
彰化縣,埔鹽鄉,284,106768.905319877,7256053.55633803,21.6833763940472
彰化縣,埤頭鄉,301,113891.486901744,6034307.77408638,22.3543247274585
彰化縣,大城鄉,149,16451.4054510738,3232571.55033557,-6.1600801209168
彰化縣,大村鄉,412,183306.15536625,9853897.47087379,10.3011522706933
彰化縣,彰化市,1927,267144.630518687,13838978.9916969,11.5695285576966
彰化縣,永靖鄉,337,126326.993325371,7345203.23442137,1.75259799791069
彰化縣,溪州鄉,272,105720.450580938,6981103.83455882,11.4841728303519
彰化縣,溪湖鎮,557,170054.820989147,8646597.3070018,4.60513865409934
彰化縣,田中鎮,367,156377.006769005,7844534.55858311,16.9622398738007
彰化縣,田尾鄉,208,111357.481520216,7656458.34134615,6.60146499635392
彰化縣,社頭鄉,354,151282.368142105,9700219.28813559,11.4039931538521
彰化縣,福興鄉,334,128132.167214641,7333462.60179641,9.92675667015518
彰化縣,秀水鄉,339,169762.727976519,9702485.91150443,8.75531817296073
彰化縣,竹塘鄉,127,48989.9116137795,5584339.7007874,35.6642898917563
彰化縣,線西鄉,170,179556.570806735,32242009.1176471,18.9020803536673
彰化縣,芬園鄉,221,82181.9347664253,6953988.02262443,3.70744879370891
彰化縣,花壇鄉,390,178008.11368918,11007653.8435897,9.90741890787298
彰化縣,芳苑鄉,364,55720.3866126923,5353800.16483517,20.487857129424
彰化縣,鹿港鎮,616,182882.696801875,25919702.4967532,5.66089163666587
新竹市,新竹市,6898,402776.079056619,18156821.1175703,16.9336242754992
雲林縣,二崙鄉,215,62191.7947079768,5378959.90232558,9.08735537009311
雲林縣,元長鄉,264,28367.3292642992,3749262.93560606,1.07656577277745
雲林縣,北港鎮,414,133130.421805229,6530264.02415459,13.3483360225263
雲林縣,口湖鄉,173,15313.3706577746,1968975.26011561,-0.165128026297205
雲林縣,古坑鄉,437,52929.9373082037,3647090.41418764,-7.33518148978575
雲林縣,台西鄉,167,17249.8632616766,3205762.02994012,7.38157433381493
雲林縣,四湖鄉,239,38195.4548420921,3366040.50209205,42.1221366124637
雲林縣,土庫鎮,461,121518.541184436,6643053.94577007,11.3960618365826
雲林縣,大埤鄉,185,42784.1127578919,4196432.8972973,-5.38421431148136
雲林縣,崙背鄉,260,82932.4571570385,5646952.35,5.5743451999502
雲林縣,斗六市,1866,208758.893077709,10230744.56806,13.4591664859982
雲林縣,斗南鎮,620,152566.333921524,9871119.03709677,2.21706853844512
雲林縣,東勢鄉,167,19671.6378034132,2469488.68263473,-8.24886108934623
雲林縣,林內鄉,113,77575.715660354,4728418.39823009,7.8155646916467
雲林縣,水林鄉,279,32751.3598903405,3108967.05376344,20.3049802145457
雲林縣,莿桐鄉,279,82427.9242764695,5405624.80645161,-6.60467858089364
雲林縣,虎尾鎮,1467,204813.127576145,11589449.8329925,13.0049282670673
雲林縣,褒忠鄉,141,45160.1413227305,4773336.76595745,-0.655257019152982
雲林縣,西螺鎮,585,149083.777696778,8369830.80854701,10.177162539474
雲林縣,麥寮鄉,373,126348.627083432,6457051.28150134,22.4096827163294
嘉義縣,中埔鄉,589,125780.763920357,8583260.88455009,11.5234431294696
嘉義縣,六腳鄉,369,40253.1642948916,4185696.86178862,-9.53457086404939
嘉義縣,大埔鄉,15,39679.337355,4711036.6,-7.74671516208218
嘉義縣,大林鎮,361,121740.82554392,8670050.37119114,6.14299854017911
嘉義縣,太保市,844,130293.144618531,17012002.1919431,3.28311723774434
嘉義縣,布袋鎮,165,39216.9882613939,3434486.60606061,9.84176437501269
嘉義縣,新港鄉,288,84582.0560568229,7211973.17361111,9.94445811784677
嘉義縣,朴子市,1370,262482.173905485,12623843.6087591,35.7560143444456
嘉義縣,東石鄉,142,61438.829031162,4898355.11267606,47.917790201802
嘉義縣,梅山鄉,144,43202.1792798264,2974812.22916667,-12.3346221440948
嘉義縣,民雄鄉,951,161434.854162929,8161882.68454259,24.9795999294229
嘉義縣,水上鄉,600,123403.554601017,7184127.855,8.39325868255916
